"data_jogo";"resultado";"adversario";"engajamento_dia_jogo";"engajamento_dia_seguinte"
2025-08-07;Vitória;CRB;1985;14318
2025-08-10;Derrota;Santos;5915;5389
2025-08-18;Empate;Mirassol;6850;7031
2025-08-23;Vitória;Internacional;7873;16572
2025-08-27;Vitória;Atlético Mineiro;4333;17434
2025-08-30;Vitória;São Paulo;14895;31844
2025-09-11;Vitória;Atlético Mineiro;3075;21739
2025-09-15;Vitória;Bahia;7733;33689
2025-09-21;Vitória;RB Bragantino;4101;11716
2025-09-27;Derrota;Vasco da Gama;7066;6347
2025-10-02;Empate;Flamengo;2623;26958
2025-10-05;Empate;Sport Recife;6549;16951
2025-10-15;Empate;Atlético Mineiro;3315;8378
2025-10-18;Vitória;Fortaleza;1671;11284
2025-10-26;Empate;Palmeiras;3756;14062
2025-11-01;Vitória;Vitória;14510;17789
2025-11-05;Vitória;Grêmio;4898;10265
2025-11-09;Empate;Fluminense;5013;6052
2025-11-20;Empate;Juventude;6396;2306
2025-11-23;Vitória;Corinthians;2165;25580
2025-11-29;Empate;Ceará;4434;17894
2025-12-04;Empate;Botafogo–RJ;8294;12653
2025-12-07;Derrota;Santos;14746;14459
2025-12-10;Derrota;Corinthians;7716;15962
2025-12-14;Vitória;Corinthians;13781;75965
2026-01-29;Derrota;Botafogo–RJ;15310;30798
2026-02-05;Derrota;Coritiba;4474;22971
2026-02-11;Empate;Mirassol;9253;45590
2026-02-25;Empate;Corinthians;1069;10727
2026-03-08;Vitória;Atlético Mineiro;10689;80409
2026-03-11;Derrota;Flamengo;2236;6475
2026-03-15;Empate;Vasco da Gama;1326;35479
2026-03-18;Derrota;Athletico–PR;15631;6981
2026-03-22;Empate;Santos;24815;6921
2026-04-01;Vitória;Vitória;4804;20967
2026-04-04;Derrota;São Paulo;7931;6855
2026-04-07;Vitória;Barcelona;514;20991
2026-04-12;Vitória;RB Bragantino;11565;22629
2026-04-15;Derrota;U. Católica;9879;8792
2026-04-18;Vitória;Grêmio;2024;14876
2026-04-22;Empate;Goiás;5328;7273
2026-04-25;Vitória;Remo;8579;13335
2026-04-28;Vitória;Boca Juniors;2569;31691
2026-05-02;Derrota;Atlético Mineiro;3051;13139
2026-05-06;Empate;U. Católica;1682;1878
2026-05-09;Vitória;Bahia;300;24017
2026-05-12;Vitória;Goiás;1409;11325
2026-05-16;Empate;Palmeiras;263;12757
2026-05-19;Empate;Boca Juniors;1291;11570
2026-05-24;Vitória;Chapecoense;9213;6444
2026-05-28;Vitória;Barcelona;5666;40132
2026-05-31;Empate;Fluminense;2381;15939
2026-07-22;Vitória;Internacional;4003;12520
2026-07-26;Derrota;Botafogo–RJ;22307;5409
2026-07-30;Vitória;Coritiba;2205;13739
2026-08-02;Empate;Chapecoense;8791;6562
2026-08-05;Vitória;Chapecoense;7004;13591
2026-08-09;"";Mirassol;0;0
2026-08-12;"";Flamengo;0;0
2026-08-16;"";Corinthians;0;0
2026-08-19;"";Flamengo;0;0
2026-08-22;"";Flamengo;0;0
2026-08-29;"";Vasco da Gama;0;0
2026-09-05;"";Athletico–PR;0;0
2026-09-12;"";Santos;0;0
2026-09-19;"";Vitória;0;0
2026-10-07;"";São Paulo;0;0
2026-10-10;"";RB Bragantino;0;0
2026-10-17;"";Grêmio;0;0
2026-10-24;"";Remo;0;0
2026-10-28;"";Atlético Mineiro;0;0
2026-11-04;"";Bahia;0;0
2026-11-18;"";Palmeiras;0;0
2026-11-21;"";Chapecoense;0;0
2026-11-28;"";Fluminense;0;0
2026-12-02;"";Internacional;0;0
