"mes_ano";"total_posts";"engajamento_total";"media_engajamentos_por_post";"media_impressoes_por_post"
"2025-08";295;204804;8192;230440
"2025-09";236;229142;7638;212221
"2025-10";192;149733;4830;189839
"2025-11";231;199396;6647;226196
"2025-12";425;432897;13964;728439
"2026-01";641;635119;20488;776013
"2026-02";432;268678;9596;394422
"2026-03";259;273575;8825;283013
"2026-04";266;240896;8030;185370
"2026-05";200;183679;5925;171127
"2026-06";150;97877;3263;146306
"2026-07";254;202839;6543;270224
"2026-08";65;61427;10238;375772
